id,channel,content_summary,category,sentiment
F278,슬랙,디자인뿐 아니라 속도도 빨라서 스트레스 없이 사용하고 ...,칭찬,긍정
F279,CS티켓,문서 용량 제한이 있나요? 첨부파일 총 용량 한도가 궁...,일반문의,중립
F280,인앱설문,"문서 템플릿 갤러리를 만들어주세요. 회의록, 기획서 같...",기능요청,중립
F281,CS티켓,드래그앤드롭으로 카드 순서를 바꾸면 가끔 원래 자리로 ...,버그,부정
F282,인앱설문,모바일 앱은 안드로이드도 지원하나요? 아이폰만 되는 건...,일반문의,중립
F283,인앱설문,앱을 켜면 로딩 화면에서 5초 이상 멈췄다가 강제 종료...,버그,부정
F284,CS티켓,문서 내보내기를 워드(docx) 형식으로도 지원해주세요...,기능요청,중립
F285,앱스토어,결제 영수증 PDF를 열면 금액란이 비어 있습니다. 회...,버그,부정
F286,앱스토어,기업 고객용으로 SSO(싱글사인온) 로그인을 지원해주세...,기능요청,중립
F287,인앱설문,앱 첫인상부터 끝까지 사용자 배려가 느껴지는 제품입니다...,기능요청,긍정
F288,앱스토어,결제 영수증을 이메일로 자동 발송하는 옵션을 켜고 끌 ...,일반문의,중립
F289,인앱설문,모바일 앱이 정말 잘 만들어졌네요. 출퇴근길에 작업 확...,칭찬,긍정
F290,CS티켓,다른 툴 여러 개 쓰다가 이걸로 통합했는데 신의 한 수...,칭찬,긍정
F291,앱스토어,결제를 연 단위로도 할 수 있게 해주세요. 월 결제만 ...,일반문의,긍정
F292,CS티켓,작업 알림을 이메일과 푸시 중 하나만 받으려면 어디서 ...,일반문의,중립
F293,앱스토어,모바일에서 음성으로 회의록을 받아쓰는 기능이 있으면 좋...,기능요청,중립
F294,인앱설문,슬랙 외에 팀즈 연동도 지원해주세요. 회사에서 팀즈를 ...,기능요청,중립
F295,슬랙,플랜을 다운그레이드하면 기존 데이터는 어떻게 되나요?,일반문의,중립
F296,슬랙,회의록 작성 후 작업 자동 배정 기능이 신기할 정도로 ...,칭찬,긍정
F297,CS티켓,대시보드 데이터를 실시간으로 자동 새로고침하는 옵션을 ...,기능요청,중립
F298,슬랙,캘린더를 주간/월간 외에 분기 단위로도 볼 수 있으면 ...,기능요청,중립
F299,슬랙,기업 도입 시 직원 교육이나 온보딩 지원을 받을 수 있...,일반문의,중립
F300,슬랙,알림 배지 숫자가 0인데 안 사라집니다. 읽음 처리를 ...,버그,부정
